排名,名字,评分,导演,类型,国家,年份,评价
1,肖申克的救赎,9.6,弗兰克·德拉邦特,犯罪 剧情,美国,1994,希望让人自由。
2,霸王别姬,9.5,陈凯歌,剧情 爱情 同性,中国大陆 香港,1993,风华绝代。
3,这个杀手不太冷,9.4,吕克·贝松,剧情 动作 犯罪,法国,1994,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,9.4,Robert,剧情 爱情,美国,1994,一部美国近现代史。
5,美丽人生,9.5,罗伯托·贝尼尼,剧情 喜剧 爱情 战争,意大利,1997,最美的谎言。
6,千与千寻,9.2,宫崎骏,剧情 动画 奇幻,日本,2001,最好的宫崎骏，最好的久石让。 
7,辛德勒的名单,9.4,史蒂文·斯皮尔伯格,剧情 历史 战争,美国,1993,拯救一个人，就是拯救整个世界。
8,泰坦尼克号,9.2,詹姆斯·卡梅隆,剧情 爱情 灾难,美国,1997,失去的才是永恒的。 
9,盗梦空间,9.3,克里斯托弗·诺兰,剧情 动作 科幻 悬疑 冒险,美国 英国,2010,诺兰给了我们一场无法盗取的梦。
10,机器人总动员,9.3,安德鲁·斯坦顿,喜剧 爱情 科幻 动画 冒险,美国,2008,小瓦力，大人生。
11,海上钢琴师,9.2,朱塞佩·托纳多雷,剧情 音乐,意大利,1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,三傻大闹宝莱坞,9.1,拉库马·希拉尼,剧情 喜剧 爱情 歌舞,印度,2009,英俊版憨豆，高情商版谢耳朵。
13,忠犬八公的故事,9.2,莱塞·霍尔斯道姆,剧情,美国 英国,2009,永远都不能忘记你所爱的人。
14,放牛班的春天,9.2,克里斯托夫·巴拉蒂,剧情 音乐,法国 瑞士 德国,2004,天籁一般的童声，是最接近上帝的存在。 
15,大话西游之大圣娶亲,9.2,刘镇伟,喜剧 爱情 奇幻 冒险,香港 中国大陆,1995,一生所爱。
16,教父,9.2,弗朗西斯·福特·科波拉,剧情 犯罪,美国,1972,千万不要记恨你的对手，这样会让你失去理智。
17,龙猫,9.1,宫崎骏,儿童 动画 奇幻 家庭,日本,1988,人人心中都有个龙猫，童年就永远不会消失。
18,楚门的世界,9.1,彼得·威尔,剧情 科幻,美国,1998,如果再也不能见到你，祝你早安，午安，晚安。
19,乱世佳人,9.2,维克多·弗莱明,剧情 历史 爱情 战争,美国,1939,Tomorrow is another day.
20,熔炉,9.2,黄东赫,剧情,韩国,2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,天堂电影院,9.1,朱塞佩·托纳多雷,剧情 爱情,意大利 法国,1988,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
22,触不可及,9.1,奥利维·那卡什,剧情 喜剧,法国,2011,满满温情的高雅喜剧。
23,当幸福来敲门,8.9,加布里尔·穆奇诺,剧情 传记 家庭,美国,2006,平民励志片。 
24,无间道,9,刘伟强,剧情 犯罪 悬疑,香港,2002,香港电影史上永不过时的杰作。
25,星际穿越,9.1,克里斯托弗·诺兰,剧情 科幻 冒险,美国 英国 加拿大 冰岛,2014,爱是一种力量，让我们超越时空感知它的存在。
26,十二怒汉,9.4,Sidney,剧情,美国,1957,1957年的理想主义。 
27,搏击俱乐部,9,大卫·芬奇,剧情 动作 悬疑 惊悚,美国 德国,1999,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
28,怦然心动,8.9,罗伯·莱纳,剧情 喜剧 爱情,美国,2010,真正的幸福是来自内心深处。
29,指环王3：王者无敌,9.1,彼得·杰克逊,剧情 动作 奇幻 冒险,美国 新西兰,2003,史诗的终章。
30,少年派的奇幻漂流,9,李安,剧情 奇幻 冒险,美国 台湾 英国 加拿大,2012,瑰丽壮观、无人能及的冒险之旅。
31,鬼子来了,9.2,姜文,剧情 战争,中国大陆,2000,对敌人的仁慈，就是对自己残忍。
32,天空之城,9,宫崎骏,动画 奇幻 冒险,日本,1986,对天空的追逐，永不停止。 
33,蝙蝠侠：黑暗骑士,9,克里斯托弗·诺兰,剧情 动作 科幻 犯罪 惊悚,美国 英国,2008,无尽的黑暗。
34,活着,9.1,张艺谋,剧情 历史 家庭,中国大陆 香港,1994,张艺谋最好的电影。
35,罗马假日,8.9,威廉·惠勒,喜剧 剧情 爱情,美国,1953,爱情哪怕只有一天。
36,大话西游之月光宝盒,8.9,刘镇伟,喜剧 动作 爱情 奇幻 冒险 古装,香港 中国大陆,1995,旷古烁今。
37,飞屋环游记,8.9,彼特·道格特,剧情 喜剧 动画 冒险,美国,2009,最后那些最无聊的事情，才是最值得怀念的。 
